[0, 0, 7, 0, 0]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch.cif|26.48181
[0, 0, 7, 0, 1]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2Br_Ch.cif|25.26083
[0, 0, 7, 0, 2]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2CF3_Ch.cif|25.04289
[0, 0, 7, 0, 12]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2_Ch.cif|24.20326
[0, 0, 7, 0, 3]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2CH3_Ch.cif|25.71159
[0, 0, 7, 0, 4]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2CN_Ch.cif|25.45197
[0, 0, 7, 0, 5]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2DoU_Ch.cif|26.12772
[0, 0, 7, 0, 6]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2F_Ch.cif|26.15382
[0, 0, 7, 0, 13]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2furan_Ch.cif|25.91420
[0, 0, 7, 0, 14]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2indole_Ch.cif|27.45491
[0, 0, 7, 0, 7]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2NH2_Ch.cif|26.08210
[0, 0, 7, 0, 8]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2NO2_Ch.cif|25.25467
[0, 0, 7, 0, 9]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2OH_Ch.cif|25.87581
[0, 0, 7, 0, 10]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2SH_Ch.cif|26.11050
[0, 0, 7, 0, 15]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2thiophene_Ch.cif|25.81131
[0, 0, 7, 0, 11]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_2TrU.cif|25.81117
[0, 0, 7, 0, 16]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1B_4H_Ch.cif|26.09812
[0, 0, 7, 0, 17]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1DoU_Ch.cif|25.84974
[0, 0, 7, 0, 19]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1thiophene_Ch.cif|26.38742
[0, 0, 7, 0, 18]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_1TrU_Ch.cif|25.65040
[0, 0, 7, 0, 20]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_1DoU_4H_Ch.cif|27.25972
[0, 0, 7, 0, 21]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_1O_Ch.cif|30.02105
[0, 0, 7, 0, 22]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_1TrU_2.cif|25.76351
[0, 0, 7, 0, 23]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_1TrU_4H_Ch.cif|26.11002
[0, 0, 7, 0, 24]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_2Br_Ch.cif|26.20792
[0, 0, 7, 0, 25]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_2CF3_Ch.cif|25.50362
[0, 0, 7, 0, 26]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_2CH3_Ch.cif|26.46940
[0, 0, 7, 0, 27]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_2CN_Ch.cif|25.98886
[0, 0, 7, 0, 28]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_2F_Ch.cif|26.18165
[0, 0, 7, 0, 29]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_2NH2_Ch.cif|26.30653
[0, 0, 7, 0, 30]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_2NO2_Ch.cif|25.80595
[0, 0, 7, 0, 31]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_2OH_Ch.cif|26.63725
[0, 0, 7, 0, 32]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_2SH_Ch.cif|26.30594
[0, 0, 7, 0, 33]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_4H_Ch.cif|26.96800
[0, 0, 7, 0, 34]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_fused_2_Ch.cif|25.73254
[0, 0, 7, 0, 35]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2B_fused_Ch.cif|26.67319
[0, 0, 7, 0, 41]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2N_Ch.cif|25.51320
[0, 0, 7, 0, 36]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_2TrU_Ch.cif|26.11979
[0, 0, 7, 0, 37]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_3B_4H_Ch.cif|26.05911
[0, 0, 7, 0, 38]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_3B_fused_8H_Ch.cif|27.03366
[0, 0, 7, 0, 39]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_4B_fused_8H_Ch.cif|26.94102
[0, 0, 7, 0, 40]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_1TrU_Ch_ntn_edge.cif|23.36787
[0, 0, 7, 1, 1]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch.cif|20.20275
[0, 0, 7, 1, 0]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_1TrU_Ch.cif|20.40785
[0, 0, 7, 1, 2]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2CF3_Ch.cif|19.81311
[0, 0, 7, 1, 12]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2_Ch.cif|20.89458
[0, 0, 7, 1, 3]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2CH3_Ch.cif|20.27752
[0, 0, 7, 1, 4]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2CN_Ch.cif|20.28365
[0, 0, 7, 1, 5]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2DoU_Ch.cif|21.27349
[0, 0, 7, 1, 6]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2F_Ch.cif|20.92849
[0, 0, 7, 1, 13]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2furan_Ch.cif|21.15193
[0, 0, 7, 1, 14]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2indole_Ch.cif|21.57078
[0, 0, 7, 1, 7]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2NH2_Ch.cif|20.44409
[0, 0, 7, 1, 8]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2NO2_Ch.cif|19.64332
[0, 0, 7, 1, 9]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2OH_Ch.cif|20.48458
[0, 0, 7, 1, 10]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2SH_Ch.cif|21.01160
[0, 0, 7, 1, 15]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2thiophene_Ch.cif|20.88762
[0, 0, 7, 1, 11]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_2TrU.cif|21.19430
[0, 0, 7, 1, 16]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1B_4H_Ch.cif|20.76461
[0, 0, 7, 1, 17]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1DoU_Ch.cif|20.50882
[0, 0, 7, 1, 19]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1thiophene_Ch.cif|21.50886
[0, 0, 7, 1, 18]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_1TrU_Ch.cif|20.44406
[0, 0, 7, 1, 20]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_1DoU_4H_Ch.cif|20.54495
[0, 0, 7, 1, 21]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_1O_Ch.cif|21.30256
[0, 0, 7, 1, 22]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_1TrU_2.cif|21.11446
[0, 0, 7, 1, 23]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_1TrU_4H_Ch.cif|21.22024
[0, 0, 7, 1, 24]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_2Br_Ch.cif|20.21973
[0, 0, 7, 1, 25]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_2CF3_Ch.cif|19.80739
[0, 0, 7, 1, 26]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_2CH3_Ch.cif|20.15405
[0, 0, 7, 1, 27]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_2CN_Ch.cif|19.64433
[0, 0, 7, 1, 28]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_2F_Ch.cif|20.91087
[0, 0, 7, 1, 29]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_2NH2_Ch.cif|20.60347
[0, 0, 7, 1, 30]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_2NO2_Ch.cif|19.80409
[0, 0, 7, 1, 31]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_2OH_Ch.cif|20.91150
[0, 0, 7, 1, 32]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_2SH_Ch.cif|20.71505
[0, 0, 7, 1, 33]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_4H_Ch.cif|21.30814
[0, 0, 7, 1, 34]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_fused_2_Ch.cif|19.56952
